List Loss. Total Prompt Count=361775135
Absolute Time Mark,Prompts per Deadtime sample,Prompts in ListFile,Difference,Missing Time Marks,Sorter Busy (%),CPM Busy
146123,0,1145901,0,0,0,0
147124,3633492,3633478,14,0,0.000385,33960
148124,3619980,3619976,4,0,0.000110,33898
149124,3631481,3631392,89,0,0.002451,33340
150124,3617304,3617480,-176,0,-0.004866,33508
151124,3606668,3606679,-11,0,-0.000305,33224
152124,3630464,3630293,171,0,0.004710,33718
153124,3619005,3619041,-36,0,-0.000995,33795
154124,3605451,3605489,-38,0,-0.001054,33232
155124,3630559,3630500,59,0,0.001625,33732
156124,3616270,3616360,-90,0,-0.002489,33616
157124,3609685,3609572,113,0,0.003130,32880
158124,3626266,3626266,0,0,0.000000,33702
159124,3619061,3619166,-105,0,-0.002901,33460
160124,3604406,3604269,137,0,0.003801,33481
161124,3624489,3624509,-20,0,-0.000552,32971
162124,3618294,3618405,-111,0,-0.003068,33495
163124,3613370,3613473,-103,0,-0.002851,33614
164124,3631004,3630909,95,0,0.002616,34060
165124,3617712,3617688,24,0,0.000663,33493
166124,3608875,3608861,14,0,0.000388,33287
167124,3631770,3631724,46,0,0.001267,33848
168124,3617131,3617236,-105,0,-0.002903,33642
169124,3605137,3605045,92,0,0.002552,33322
170124,3625470,3625496,-26,0,-0.000717,33223
171124,3619001,3619094,-93,0,-0.002570,33273
172124,3608809,3608747,62,0,0.001718,33308
173124,3625951,3625900,51,0,0.001407,33670
174124,3614921,3615030,-109,0,-0.003015,33258
175124,3609503,3609410,93,0,0.002577,33122
176124,3630171,3630097,74,0,0.002038,33612
177124,3620170,3620222,-52,0,-0.001436,33164
178124,3611727,3611666,61,0,0.001689,33280
179124,3632092,3632322,-230,0,-0.006332,33449
180124,3620711,3620651,60,0,0.001657,33274
181124,3612476,3612322,154,0,0.004263,33461
182124,3627406,3627468,-62,0,-0.001709,33513
183124,3611756,3611782,-26,0,-0.000720,33523
184124,3609731,3609679,52,0,0.001441,33303
185124,3627711,3627859,-148,0,-0.004080,33126
186124,3616401,3616291,110,0,0.003042,33731
187124,3611883,3611896,-13,0,-0.000360,33108
188124,3626911,3626852,59,0,0.001627,33399
189124,3618609,3618647,-38,0,-0.001050,33193
190124,3606869,3606843,26,0,0.000721,33470
191124,3628106,3628029,77,0,0.002122,33577
192124,3619393,3619504,-111,0,-0.003067,33564
193124,3607354,3607302,52,0,0.001441,32927
194124,3632832,3632890,-58,0,-0.001597,33626
195124,3616641,3616602,39,0,0.001078,33100
196124,3608727,3608723,4,0,0.000111,33156
197124,3631488,3631578,-90,0,-0.002478,33339
198124,3618574,3618517,57,0,0.001575,33456
199124,3609785,3609717,68,0,0.001884,32842
200124,3627717,3627721,-4,0,-0.000110,33308
201124,3616306,3616408,-102,0,-0.002821,33312
202124,3606841,3606730,111,0,0.003077,33544
203124,3629506,3629583,-77,0,-0.002122,33137
204124,3614807,3614835,-28,0,-0.000775,33320
205124,3603296,3603268,28,0,0.000777,33173
206124,3625794,3625780,14,0,0.000386,33607
207124,3615387,3615429,-42,0,-0.001162,33296
208124,3605673,3605685,-12,0,-0.000333,32797
209124,3626585,3626496,89,0,0.002454,33277
210124,3613030,3613223,-193,0,-0.005342,33219
211124,3606029,3605882,147,0,0.004077,33445
212124,3625811,3625734,77,0,0.002124,33122
213124,3614574,3614740,-166,0,-0.004593,33348
214124,3604149,3604071,78,0,0.002164,32616
215124,3628747,3628741,6,0,0.000165,33396
216124,3619166,3619126,40,0,0.001105,33399
217124,3612618,3612686,-68,0,-0.001882,33549
218124,3629668,3629600,68,0,0.001873,33601
219124,3615752,3615830,-78,0,-0.002157,33692
220124,3604374,3604287,87,0,0.002414,33152
221124,3629119,3629123,-4,0,-0.000110,33179
222124,3616671,3616719,-48,0,-0.001327,33777
223124,3603243,3603209,34,0,0.000944,32679
224124,3627041,3627111,-70,0,-0.001930,33566
225124,3620568,3620486,82,0,0.002265,33544
226124,3609558,3609615,-57,0,-0.001579,33507
227124,3630165,3630111,54,0,0.001488,33539
228124,3617140,3617316,-176,0,-0.004866,33343
229124,3608846,3608653,193,0,0.005348,33100
230124,3628727,3628731,-4,0,-0.000110,33425
231124,3616863,3616963,-100,0,-0.002765,33316
232124,3607308,3607293,15,0,0.000416,33051
233124,3630382,3630292,90,0,0.002479,33959
234124,3615927,3616108,-181,0,-0.005006,32940
235124,3603832,3603679,153,0,0.004245,33027
236124,3623673,3623718,-45,0,-0.001242,33160
237124,3613981,3613956,25,0,0.000692,33693
238124,3605839,3605743,96,0,0.002662,32950
239124,3621908,3621897,11,0,0.000304,33397
240124,3612866,3613053,-187,0,-0.005176,33173
241124,3601879,3601779,100,0,0.002776,32965
242124,3627243,3627328,-85,0,-0.002343,33280
243124,3617555,3617631,-76,0,-0.002101,33077
244124,3605012,3604866,146,0,0.004050,33041
245124,3627037,3626962,75,0,0.002068,33278
