List Loss. Total Prompt Count=1664000000
Absolute Time Mark,Prompts per Deadtime sample,Prompts in ListFile,Difference,Missing Time Marks,Sorter Busy (%),CPM Busy
123124,12799944,12800000,-56,0,-0.000438,2189122
124124,12800171,12800000,171,0,0.001336,2135333
125124,12799778,12800000,-222,0,-0.001734,2182549
126124,12800193,12800000,193,0,0.001508,2194797
127124,12800036,12800000,36,0,0.000281,2133079
128124,12799900,12800000,-100,0,-0.000781,2193731
129124,12800025,12800000,25,0,0.000195,2194303
130124,12800118,12800000,118,0,0.000922,2149060
131124,12799844,12800000,-156,0,-0.001219,2197516
132124,12799980,12800000,-20,0,-0.000156,2171015
133124,12800075,12800000,75,0,0.000586,2126674
134124,12799978,12800000,-22,0,-0.000172,2185735
135124,12799839,12800000,-161,0,-0.001258,2187439
136124,12800074,12800000,74,0,0.000578,2140617
137124,12800120,12800000,120,0,0.000937,2181194
138124,12799987,12800000,-13,0,-0.000102,2210704
139124,12799978,12800000,-22,0,-0.000172,2150756
140124,12799922,12800000,-78,0,-0.000609,2202581
141124,12800117,12800000,117,0,0.000914,2205736
142124,12799905,12800000,-95,0,-0.000742,2154709
143124,12800097,12800000,97,0,0.000758,2199753
